user,%
0xa72eeaa05f39a601895ab6690a73b96a89d8826d,0.03%
0xa60aadf62907bf06dd714781d44bbd4c2d783259,0.03%
0x4f66509d41402de9b0c8bf21a2b9116844877702,0.03%
0x2e27c5d396d4bcf650ac9fe7368e25b8d29fb9db,0.03%
0xace0086da2ae12bc6e19610719fcb822d10d665d,0.03%
0x2cf73112506326a7bf6f58b35049df25a548824f,0.03%
0xeab3e731b301144d2431e364731626e71c87f43c,0.03%
0xe42d15539d9f0a5adab3869369992439ccde39cc,0.03%
0x8458ec9b22e47d83c543123209eceba79a73ad78,0.03%
0x239a9c2e1a96fb1b8a522bbd222426e7211f9bc2,0.03%
0xb1e365d97bdc61b4c3b18b78116177472d0c820c,0.02%
0xb7bc3b3a35229f81e97d4e01d31bfe21eba7a554,0.02%
0xc0e4cc5950695f9183afd1c6fb3df0000c3ae5de,0.02%
0x8ade06f3ee488135bcf0af38c804f600602d2cd1,0.02%
0xa40c99a827733d2f0200bb18118703ce3dbf5558,0.02%
0x6c6418d85470512d0b79ad5b7fdcc6ddeffe1835,0.02%
0x480d57dc208fd4c5a2306f0c8614621053b7c643,0.02%
0x88573b505e2c588c7c14c66dda0264650fd774ce,0.02%
0xf5a93410e7e32bbf28a8eaafbd7f241cf0b290fb,0.02%
0x4ec3b73b4cb5e228d4a713808a8d961bdc3691de,0.02%
0x0383a7d79478ef05ba1183884b6d7c698256813d,0.02%
0x0e9e387ac5079836e746f765cc9138ff0d6c0cd2,0.02%
0x7d2fd18d4a21f29520f5ba0c7261e7706b788e51,0.02%
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0.02%
0x8a66d8e2776cca95b00839e68c995074e0a51126,0.02%
0xaacfc18a18c27768d35cef8b55f7af95cded989b,0.02%
0xd319026e160089129717a05cf44939ed29b3bdcb,0.02%
0xc935b59c7f810cec91e46b45f03a4ac4cc0e915e,0.02%
0x8bb820c251ac194ca770f9f0cdc12b76354e3de6,0.02%
0x8e29d0e2ca8e92a9f27192616e2e9f170fd2a035,0.02%
0xde38c6a225242fbe243b46dfa775c7e7c53c56d9,0.02%
0x82ec09d06924dcb3f2449ce96cd92156410c340f,0.02%
0x67656d0785622df8c31d5288824aa6f3df1ce1e0,0.02%
0x21d754539912d9d34c066594e97c1bd6ac03937a,0.02%
0x165e3263429438011f6a731c6fdf4c32c5a8bbb3,0.02%
0xbb8fb8fe5198f25d117c0e7b1b9c8260cb19c3c0,0.02%
0x548633fac48df9d8445b46cc1e9d8d10fc940195,0.02%
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,0.02%
0x8fe316b09c8f570fd00f1172665d1327a2c74c7e,0.02%
0xacfb657781452e50f6bd126e01c2aef6817a5d48,0.02%
0x1e97d737786df74228eed4862d222bda6adc11b2,0.02%
0x75d558522dd28ccd32c15d7326c68d853a1449fe,0.02%
0x52075c4384d02121fc35b22ad52d8127b45e5e43,0.02%
0x7a9287178cab99b0666359e146450de21b855e83,0.02%
0xe8988ee26996799c0eee7e8fd057b5c04565aa95,0.02%
0x981cd8ee6ec424d2dbcc68aa647d2547a1e52d89,0.02%
0x08e8522cf1c2fd894935a29ad1e586f29e68ed8c,0.02%
0x5602dfd9ff56c613936c85e87d7cf0e1894cead4,0.02%
0x5a1f637ffaf534a1b511e0d179507abd95c59a1d,0.02%
0xe10aecac2f65a20b3aeed6a4298f0b7f4db461b3,0.02%
0x11e32bb1cf76cd88b26bd75f7075ac3ac1f4e064,0.02%
0x348d053eec9d8ed2443accacb4fc932822f6b1e8,0.02%
0xed90bf77b9e4530ba2277dbb43d2292ecefd7c55,0.02%
0x125dbed1774bb391936cd6b0e5127cd44b89a277,0.02%
0xa83e598f8d2d08a1b45627a2a00ed0a2c6e41532,0.02%
0x5fd879d95ac72cda1da65220a766e4687752670a,0.02%
0xe62f0c158e69ef03fe7a27452df9d0c1afadec54,0.02%
0x6ac1065a0275da813012d48224737e3ee478e1a9,0.02%
0x4347d59dca6d4087602280e43df1266f1697597b,0.02%
0x7020994f95622e4dd2d485b383ce71947fb92fff,0.02%
0x315fc0c6692b6f6a9bc2618d85ddfd89680817fb,0.01%
0x36b6e74f7462972717df8a96caba1bd4148a3d85,0.01%
0xa0eae2ba5c0675d7c6f2e215e13caced94f4d852,0.01%
0x2d43e7599fa5f73dcdb48b9934a45a4f689a595f,0.01%
0x176ce2bef56c165400d017ba400088446d7c2fd7,0.01%
0xa423c7be031e988b25fb7ec39b7906582f6858c6,0.01%
0xa42cc8097460445151b0019afb13efcf5e5a6294,0.01%
0x505914ab3fe177188129462742688a440687c037,0.01%
0xd25a30f86986adb0a3efa29ca02fb6bb1edd8448,0.01%
0x916134e688a4a866ff57f4f53f16703f9b8afa99,0.01%
0xc03edbf9b3fc06fc48dc482bdabd4282f70fd2cf,0.01%
0x538c6356a4135d49cdf6286fed493e5fca20c9c8,0.01%
0x24612508a2cbb40e4558b7396c856200e54f3c68,0.01%
0x37acdfc02b78b53c9a0e21a58746cc71e23a8f05,0.01%
0x10cdc437cf87a47a30378795ebabd19e7a0296ec,0.01%
0xa84da2b902aabeb20fe3b8969e62c32cdd7e974f,0.01%
0xe5a3489df46e40fbe347cd6151200a03ab15eba3,0.01%
0xe29756954d0868f5fa362ae1e84757fe19299401,0.01%
0xd7224f96ac3b6c66ffc7f6bbb40c84de1b965fe1,0.01%
0x1ed939ef096bab6d68657ea9c1fdf534ead267d6,0.01%
0xc657956bfb0a0a454036bd4c7fef1bd06f2091bc,0.01%
0x68a3c7b4ac93f42119a03e0eb88a5b6bb79fd851,0.01%
0x761599064123baf63413e5c7b84e25ed64531867,0.01%
0xbf43fc152b8451f7709f7a844e5dfb16a7562b93,0.01%
0xc693b4ffb338579467a541b2bf267b1955870920,0.01%
0xd88d0e7b68544f155330610aca1aa2bf7bdf1c59,0.01%
0x77f22d9a94bcc99ce9a3adfd6db27c907f35d1ae,0.01%
0xe369e8176960afa83aaf9a396c52fd091380093a,0.01%
0x30f092b801f74aa56671f98b64548aa831690080,0.01%
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0.01%
0x23c575c9d5711945c42c30997f19327af67a464e,0.01%
0x2892f9f13224e737a5e143d5c6aec0999e297b46,0.01%
0x4d30484c796162e9f933a9edd4981f4aa808d3c6,0.01%
