Mainnet_addresses,SMR per Address,100% value,% LZ airdrop per address
0xB69c21DCdDC50fD3214Ec3c034f5FCcB9d2c99A5,11487,30033851,0.038246806%
0x3D0A4C1a964065d4e05ce057e54954f35433135d,10601,30033851,0.035295893%
0xFAF26DCB409317E39B5B048657327EeddbAB3261,11340,30033851,0.037756843%
0xD41e45b137B57186E87c26f91301065d1070510F,11384,30033851,0.037905317%
0xa16687c9fbDcA7183cD29DeE1f465505E43B9FfC,10811,30033851,0.035995946%
0x4686293de21b8F518A8c79681E32fB42F5485d07,10219,30033851,0.034025701%
0xC29240c96F096C4D4C5DDd11533DfdE66338f0D7,11215,30033851,0.037341117%
0xCeE33781F54E4b621136178BF87B4fBFb27F303D,4355,30033851,0.014501419%
0xdF4cDd2Ab79B487eDAbd3FB9781c57e4897daeaE,12439,30033851,0.041415233%
0xFEBF8038dA09FE4d48F1beAcA5B630f5418e67fa,10332,30033851,0.034402081%
0x59c780472a04b88f14E0c46A00829540Ba8BF260,10855,30033851,0.036143677%
0x8426cE3Bf33A989767111e42554f6b2DF4a0F00C,11032,30033851,0.036732375%
0x0149e60B2a496885508AE5317F4a75539CFd0EF0,10876,30033851,0.036212717%
0x97db8523DE492056007e19E6a06674d01c49cF61,9851,30033851,0.032799309%
0x5ed72BCc5ca9010742BB042C4DC9DA612f75E9F3,10863,30033851,0.036168175%
0x1991d31b424c81feC985F8d1498Da55cfc4E572A,10294,30033851,0.034275136%
0x38e9E585f8928Fc6b763433CF6E3563f8FC32D15,10096,30033851,0.033614429%
0x0BD47ED5FfeC8457d7bDC7C2ad472f4D7896442d,9231,30033851,0.030734041%
0x7a385430cfbfA0550d43Ed6532Def1ca88F5d6D3,10497,30033851,0.034950691%
0xc30758F7226fD4F907249CC1849Ba3454dCAcA65,10591,30033851,0.035262486%
0x7d6Cfd9C6aa17F35a9b6e3C295ab21324DF841b6,6541,30033851,0.021777369%
0xb106b3173a623e8ceCb0B82A940dbcA656EB7745,8914,30033851,0.029679878%
0x597BEa912e8734E17DDc4f43A489a1472d9459cF,10386,30033851,0.034579507%
0x10b4EF7b22E40496Eca8C0B97F5A6b1afFb7Aa7b,10386,30033851,0.034579507%
0x58791901aD5C1AbfD308Bcf468D4A2cB7ABE024f,10381,30033851,0.034564660%
0x2fbA31107f78c7746cC0e48d603b69803eA1FE3B,33538,30033851,0.111667014%
0x48d7e31b8828F619C299c8611e8362ee0aB3ad8B,10323,30033851,0.034371644%
0x06F7c242C51F283feD2366aFD139D434D02453dc,10225,30033851,0.034045002%
0x4AB0A740F978A792bD04F699e100670c1cFA446A,9580,30033851,0.031898074%
0x488C2F8248a6c0242cf506A5ae06864e4368F9d2,9557,30033851,0.031819383%
0xFBaaEE97F3a7D7595735531fD1ECc365870f013a,10042,30033851,0.033436261%
0xFBDAbbb70B6C8bA2573D4C962423D6eC22c9A55d,11665,30033851,0.038840700%
0xd620b406F83d6a23a2588f801B38Af4Fec7c498a,10020,30033851,0.033362024%
0x0695883f9a3D651f2bfe115849e936f7808E4DEe,10007,30033851,0.033317482%
0x289b2d8c523EF1a825844B468666aEC03Ce687F3,11289,30033851,0.037586841%
0x754dD2660d5D7116adA8cBE2EF1b86Fbf44A4727,6992,30033851,0.023280665%
0x8bABFf20654AEf596613916f495050668D116F0c,8330,30033851,0.027734873%
0xb7b699153988d1BE53865c909afB293B34E444d1,9824,30033851,0.032708740%
0x47bFefBa9BcdB3e811708C01CFd2Cb1579441847,9320,30033851,0.031030988%
0x6754CE28C834407CEcfb3C0369b00EAD20BE8e0e,9273,30033851,0.030875833%
0x6c08E32e6662dF50FE7449FE8d340AbCdb9F88f2,8805,30033851,0.029316117%
0x2FaC67a0a53B8c455024809F7c75DF827BA35337,9677,30033851,0.032218777%
0x4a423dD04890A599114aAC843892Fca2980D480F,9412,30033851,0.031336843%
