Address,Percentage
0x61f7d1c69a4c57bd0ac51be1b84c960b6fd7abf6,0.0666685%
0xd7ec17fb2a97b1c0b6cda86b031678a11184d3df,0.0666058%
0x228c4f06545df44aaa2517ea238ea293e4b7d1ce,0.0656487%
0xe0e2b9fdce6a1b50b6956c1e4210556a9b15ace8,0.0653834%
0xd6f5004d3124aba6a54813ea69627292d96e9c7d,0.0653834%
0xd1ccf6370f6c62b238d16785a3acef881b7d0c6d,0.0653834%
0x8d5a28e49f2ec11546f1fbe97de68efa5750619c,0.0653834%
0xea7baf3e7ba94184ef2aaee7a997cbb2436907b9,0.0653834%
0x149b9d82649de86244e84d857708479dac850744,0.0642474%
0x618715e04a5f3ce5dcfbcbcad78b0973521d5f1f,0.0640003%
0x9702cc6c51ed11777087ffc9fda0124ebcd7dda2,0.0638640%
0x15a23cca167a7c7f0faef795b17041111d83b418,0.0637489%
0x2ae87634f58b255b7f25296aa0878c962ac9c70f,0.0634903%
0x52ed524c6b674393324bfc8686bf3ca411cc296b,0.0631046%
0xdf08adab8ed75fbf2f6f88b00567f2861651d281,0.0627804%
0x4d977af022bed91670248957f345bcdb115272e6,0.0626806%
0xb7213e65febd083c01db03fe8d78d40e4aee0a72,0.0626230%
0xfa0783e776193a5bef69fb9de3db77a734372bab,0.0610300%
0x0b3350c4ced584cfd6b7e11ab43a14bdb26bc333,0.0599386%
0xcce1a7ff64c8e7323691873111b815ad78918ddb,0.0598258%
0x48c22db0008cc06b44f1125507958244ec4ebef0,0.0596648%
0xc97252f98b7159251d410fe237674dc5bf7465a1,0.0596421%
0xa6ed26749cb54591291b4550a82f15ff64ae98d9,0.0592631%
0xecc40cc67b78bfc51f93fc8b515760fe8544f3d6,0.0585522%
0xfcb4f6dfd11acda87de3b6a3ce08c67cef084d68,0.0583450%
0x674abf4d5568f4bc7254c09ed87f2c90c6b7022c,0.0581292%
0x905ebb99f91090f1c81a1ff9c9ba35296d511191,0.0568857%
0xfdf0e167e6c94c93c8d51c9f46bda6ee5ea4b384,0.0548980%
0x000000209e0a892842bc06c354e7d097392cbbbb,0.0547383%
0xc0cb2d4a92624d3af362f6fe58c47a46a65bc2eb,0.0547245%
0x1a061360f95f2b7aac2834ebe2e2114ad0ea7785,0.0539364%
0x1e6c02d4f25dff92b8355abbac1b9522e0a7e8e9,0.0527913%
0x6ba782bb19c114953124b08a709dd87ba84da32b,0.0527275%
0x4d1638f89594774ac1af37efb8f409036265044c,0.0523067%
0xb08884442011d139e612b4923b96c720caff233b,0.0508692%
0xcb4b8ad225a58c3ad92a96ffee68b06c53a91816,0.0498737%
0x1ec8700c30186b28c17edc29c82ccbc3d8daa1b8,0.0492644%
0x646b3a0de907ce282680f421e6e9df0e3537868a,0.0490376%
0xf7795221040da1b00221c764f07fe4b73f4578ba,0.0490376%
0xd9340bd540ba148c0e65380faadd735f41000000,0.0490376%
0x8bb7a5cbb431c7e3a9c798bab1990206da57ccda,0.0489725%
0x75a1a650b12de0bef940607a1b51eca31b29e90c,0.0489316%
0x8c676d00c88a14ea31f3f259ffff78b8e496cd0b,0.0484623%
0x613033315466594ae1f193bc0780adf0cd0c2d91,0.0482311%
